"GUID","Original Example","ChatGPT's Paraphrase","Ground Truth Label","Prediction Label"
1539,"Can you tell me what i steps i should take since my card was stolen?","What steps do I need to undertake after my card has been stolen, if you wouldn't mind sharing?","lost_or_stolen_phone","lost_or_stolen_card"
7286,"What value can I get for my currency?","What is the worth of my currency?","exchange_rate","exchange_via_app"
2362,"Is there a way to reset my PIN?","Is there a method to reset my PIN?","pin_blocked","change_pin"
4037,"how do I speed up identity verification?","How can I expedite the verification of my identity?","why_verify_identity","verify_my_identity"
1545,"I refuse to verify my identity.","I refuse to attest to my identity.","why_verify_identity","unable_to_verify_identity"
5034,"What was the cause for my card to be declined?","Could you explain the reason behind my card's decline?","declined_cash_withdrawal","declined_card_payment"
1467,"I'm not verifying my identity.","I am refraining from confirming my identity.","why_verify_identity","unable_to_verify_identity"
3294,"I tried to top up, but it didn't finish.","I attempted to replenish my account, but it didn't succeed.","pending_top_up","top_up_failed"
6843,"Is my top up not working?","Is my top up option not working as intended?","pending_top_up","top_up_failed"
7691,"Is there a problem with the top up system? My transaction hasn't gone through properly","The top-up system could be experiencing difficulties. My transaction is not processing correctly.","pending_top_up","top_up_failed"
4864,"why do I need to show ID","Is there a particular basis for requesting proof of identity?","verify_my_identity","why_verify_identity"
1959,"What proof do you need for my identification?","What verification do you need for my identification?","unable_to_verify_identity","verify_my_identity"
3631,"How to verify my identity","What steps can I take to confirm my identity?","why_verify_identity","verify_my_identity"
6753,"What do I need to bring for identification?","What identification items do I need to carry along with me?","unable_to_verify_identity","verify_my_identity"
8631,"How do you do currency exchanges?","How does one go about exchanging different currencies?","exchange_rate","exchange_via_app"
5260,"My top-up hasn't gone through, what happened?","My top-up hasn't gone through, what's the cause?","top_up_failed","pending_top_up"
7705,"What is wrong with my top-up?","Can you help me understand what's going on with my latest prepaid payment?","pending_top_up","top_up_failed"
3669,"i entered my pin in wrong and got it frozen. how many tries do i have","My pin got frozen because I entered it incorrectly. How many attempts do I have left?","declined_cash_withdrawal","pin_blocked"
3374,"why do I have to show my ID","What is the reason for me to present my ID?","verify_my_identity","why_verify_identity"
25,"I do not feel comfortable verifying my identity.","The act of verifying my identity makes me uneasy.","why_verify_identity","unable_to_verify_identity"
