text	label
what is the equivalent of, 'life is good' in french	translate
i need you to translate the sentence, 'we will be there soon' into portuguese	translate
what is the correct way to say 'i am a visitor' in french	translate
what do spanish people say for the word cow	translate
translate hello to english	translate
could you translate atm machine into english	translate
please translate grocery into french for me	translate
translate hello english to french	translate
what phrase means goodbye in hawaii	translate
what spanish word means hello	translate
translate hello to french	translate
translate hello into french for me	translate
translate for me hello into french	translate
what is spanish for hello	translate
what is spanish for good morning	translate
can you translate hello into swedish for me	translate
can you translate where's the bar into irish for me	translate
can you translate i have to go pee into korean for me	translate
can you translate cat into russian for me	translate
can you translate bowl into russian for me	translate
can you translate bat into russian for me	translate
can you translate hi into spanish for me	translate
i wanna learn a phrase in russian	translate
can you translate milk into spanish for me	translate
send 100 dollars between bank of the west and bank of america acccounts	transfer
send fifty dollars from me to carrie	transfer
send over a hundred dollars from huntington into saving	transfer
move 57 dollars from saving into mom	transfer
go ahead and send ten dollars from bank of america to capital one	transfer
send ten dollars from bank of america to capital one	transfer
please send ten dollars from bank of america to capital one	transfer
send $20 from debit to steve's account	transfer
send 20 dollars from savings to checking	transfer
transfer $5 from savings to checking	transfer
please transfer $5 from savings to checking	transfer
please switch $s checking to mortage	transfer
please transfer $s from saving to checking	transfer
could you transfer $x from saving to checking	transfer
please transfer $x from checking to saving	transfer
i need ten dollars sent from b of a to washington mutual	transfer
i want seventy bucks transferred from b of a to chase	transfer
wake me in an hour	timer
remind me in (x) hours	timer
tell me when two minutes are up	timer
start counting down from two minutes	timer
"""""""please set 5 minute timer"""	timer
please start counting down from 10 minutes	timer
timer 5 minutes	timer
alert me in 20 minutes	timer
i'm cooking an egg, timer for 3 mins	timer
count down 10 minutes	timer
remind me that time is up in sixty minutes	timer
set an alarm for nine minutes from now	timer
tell me when ninety minutes have passed	timer
want 5 minute timer	timer
what is the meaning of realism	definition
what is the meaning of interorganizational	definition
what is the meaning of supercede	definition
what is the definition of incomprehensible	definition
what is the meaning of stupendous	definition
what is the definition of intelligent	definition
what is the meaning of hyperactive	definition
what is the definition of valor	definition
what is stupedous meant	definition
find the meaning of qat	definition
what the heck is qat	definition
look up qat please	definition
what might the meaning of altruism be	definition
what is the definition of altruism	definition
what is the meaning of altruism	definition
affiliate's definition is what	definition
the definition of affiliate is	definition
what's the meaning of affiliate	definition
what's affiliate definition	definition
definition of affiliate is what	definition
whats the definition of poor	definition
