text	label
Hello - I'm on the app and trying to purchase crypto. It's not going through. What am I doing wrong?	beneficiary_not_allowed
Do top-up limits exist?	top_up_limits
i have a pending top-up	pending_top_up
What card or currency can I use to pay?	supported_cards_and_currencies
I deposited some money, but the balance has not changed.	balance_not_updated_after_cheque_or_cash_deposit
Can I use my account before my Identity verification has passed?	why_verify_identity
I got billed an extra pound!	extra_charge_on_statement
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?	card_arrival
What are the currency types that I can keep money in.	fiat_currency_support
Please help me, there is a transaction in the incorrect account.	cancel_transfer
Hello, I am buying a flat and need the inital payment for the mortgage to go through. It keeps showing up as error, what is going on? Can you please help me make this transfer?	failed_transfer
Some cash was missing at ATM.	wrong_amount_of_cash_received
How long does it take to verify a person's identity?	unable_to_verify_identity
Can my PIN changed remotely without visiting a bank?	change_pin
Would I be charged any fees if I added money to my account using an international card?	top_up_by_card_charge
How can a payment be declined	declined_card_payment
I got an unexpected charge on my transfers. How can I correct this?	transfer_fee_charged
What currences are available for exchange?	exchange_via_app
There was an extra charge when I used my card	card_payment_fee_charged
Please tell me where I can update my details since I moved.	edit_personal_details
I seem to have a problem here, I bought something about a 2 weeks ago and just now received the payment back into my account and I've already received the item. Can you tell me what is going on here?	reverted_card_payment?
My top up did not show up as shown and my money has disappeared, can you help me fix this glitch problem?	top_up_reverted
Lost password	passcode_forgotten
need help with google pay top up	apple_pay_or_google_pay
How can I convert currencies?	exchange_via_app
If I need more than cards will I have to pay a fee to receive them?	getting_spare_card
Whats the reason for my payment being declined? It looked like everything went through ok and my account was good.	declined_card_payment
Please double check my card - withdrawal was working fine so far, but this morning on the way to work it suddenly got declined!	declined_cash_withdrawal
Do you accept cheques for top-up?	top_up_by_cash_or_cheque
How long do transfers typically take? Is there a way of speeding the process up? My friend needs the money I sent her desperately.	transfer_not_received_by_recipient
What's the process for topping up by card?	topping_up_by_card
What are the restrictions on the virtual cards?	disposable_card_limits
When traveling, is it possible for it to add money at specific time intervals?	automatic_top_up
Why wasn't my top-up accepted and where did that money go? At first it said it was confirmed but now I can't find it.	top_up_reverted
I could not get a top-up to work, why?	top_up_failed
Verifying top-up cards necessary?	verify_top_up
what was the $1 fee i got	extra_charge_on_statement
I made a deposit in the ATM and it has not cleared	pending_cash_withdrawal
How do I troubleshoot my contactless?	contactless_not_working
My beneficiary didn't receive my transfer	beneficiary_not_allowed
Give me a refund now!! I am still waiting.	Refund_not_showing_up
How to receive the actual card	order_physical_card
Can you tell me the names of the fiat currencies that I can use at your institution?	fiat_currency_support
I deposited cash into my account, why do I not see it?	balance_not_updated_after_cheque_or_cash_deposit
I don't understand why I'm being charged for using my card.	card_payment_fee_charged
I can not find my refund.	Refund_not_showing_up
I NEED HELP WITH MY CARD!!!!! please. It keeps getting declined when I try to use it. I have tried a few times to use it and it keeps getting rejected. I have no idea why.	declined_card_payment
my top up isnt there yet where do i find it	topping_up_by_card
My transfer was wrong, are you able to stop it before it goes through please?	cancel_transfer
Do I need to do anything? My phone was stolen yesterday.	lost_or_stolen_phone
I'm trying to move money from my account to elsewhere, but it's giving me an error message.	declined_transfer
I really need to top-up my card today urgently but my card keeps getting declined!! Can you please resolve this problem or try an alternative	top_up_failed
i have tried everything to complete a transfer but can't, what should i do next	declined_transfer
I heard that you support more than one type of fiat currency, would you tell me which ones please?	fiat_currency_support
Should my top-up be completed by now?	pending_top_up
What do I do if I got the wrong amount at the ATM?	wrong_amount_of_cash_received
What is the refund procedure?	request_refund
I used the ATM to get money out and did not realize I would be charged as much as I was or I would not have done that!	wrong_exchange_rate_for_cash_withdrawal
Could I raise a dispute for a large payment that i found out was not done by me in my couple of last statements? I am aware its delayed now. Please help me out.	direct_debit_payment_not_recognised
How long do tranfers from a UK account usuallt take for you? I just made a transfer and nothing shows up, so just wondering if things went ok	balance_not_updated_after_bank_transfer
Transfer was declined, could not complete request.	declined_transfer
Does the PIN come under separate cover?	get_physical_card
I made a payment and it appears it is showing twice	transaction_charged_twice
How can I check how much free spending I have left? I have some big purchases coming up and want to know where I can look for any info.	card_payment_fee_charged
Help! I've forgot my app passcode!	passcode_forgotten
Card payment was declined, do you know why?	declined_card_payment
Hi there, earlier today I tried to take money out of an ATM machine, and something wasn't working.  I didn't actually receive the money, but I just checked and it says that the transaction is still pending.  Can you tell me what's going on here? Am I still being charged for the withdrawal even though I didn't end up getting any money?	pending_cash_withdrawal
How long before a check I send clears?	top_up_by_cash_or_cheque
